task_name,folder_tag,base_model,pairs_per_segment,state_size,conv_type,num_memory_vectors,d_mem,learning_rate,avg_em,std_em,all_ems,n_runs
N4-K2V2-V62_1M,rmmv5p2,llama,4,32.0,ck4,1,,0.0001,25.61,0.19,"(25.8, 25.42)",2
N4-K2V2-V62_1M,rmmv5p2,llama,4,32.0,ck4,4,,0.0001,91.82,0.0,"(91.82,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,0,32.0,ck4,1,,0.0003,25.71,0.41,"(25.3, 26.12)",2
N4-K2V2-V62_1M,rmmv5p4,llama,1,16.0,ck4,4,,0.0003,99.04,0.0,"(99.04,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,1,16.0,ck4,8,,0.0003,99.02,0.0,"(99.02,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck2,4,,0.0001,99.04,0.0,"(99.04,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck2,8,,0.0001,99.14,0.0,"(99.14,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,1,,0.0003,26.53,0.11,"(26.64, 26.42)",2
N4-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,2,,0.0001,99.01,0.01,"(99.02, 99.0)",2
N4-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,4,,0.0003,99.24,0.0,"(99.24,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,8,,0.0001,99.02,0.0,"(99.02,)",1
N4-K2V2-V62_1M,rmmv5p4,llama,4,32.0,ck4,2,,0.0003,91.59,1.55,"(93.14, 90.04)",2
N4-K2V2-V62_1M,rmmv5p4,llama,4,32.0,ck4,4,,0.0001,92.64,0.0,"(92.64,)",1
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,1,32.0,0.0001,99.09,0.01,"(99.08, 99.1)",2
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,1,,0.0003,26.09,0.09,"(26.0, 26.18)",2
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,2,32.0,0.0003,99.37,0.31,"(99.68, 99.06)",2
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,2,,0.0001,91.76,0.08,"(91.68, 91.84)",2
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,4,32.0,0.0003,99.51,0.21,"(99.72, 99.3)",2
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,4,,0.0003,90.7,0.0,"(90.7,)",1
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,8,32.0,0.0001,99.1,0.06,"(99.04, 99.16)",2
N4-K2V2-V62_1M,segment_baselines,llama,1,,N/A,8,,0.0001,59.02,32.8,"(91.82, 26.22)",2
N4-K2V2-V62_1M,segment_baselines,llama,4,,N/A,1,32.0,0.0003,7.93,0.13,"(7.8, 8.06)",2
N4-K2V2-V62_1M,segment_baselines,llama,4,,N/A,1,,0.0001,50.92,27.86,"(78.78, 23.06)",2
N4-K2V2-V62_1M,segment_baselines,llama,4,,N/A,2,32.0,0.0001,90.95,1.61,"(92.56, 89.34)",2
N4-K2V2-V62_1M,segment_baselines,llama,4,,N/A,4,32.0,0.0001,89.26,1.56,"(87.7, 90.82)",2
N4-K2V2-V62_1M,segment_baselines,llama,4,,N/A,8,32.0,0.0001,91.38,1.06,"(90.32, 92.44)",2
N8-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,4.0,ck2,-1,,0.001,5.85,3.93,"(8.2, 0.32, 9.04)",3
