task_name,folder_tag,base_model,n_layer,n_head,n_embd,state_size,conv_type,num_memory_vectors,read_mode,write_config,pairs_per_segment,learning_rate,avg_em,std_em,all_ems,n_runs
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,64,32.0,ck2,-1,N/A,N/A,-1,0.001,47.13,11.75,"(63.74, 39.26, 38.4)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,64,32.0,ck4,-1,N/A,N/A,-1,0.001,98.66,0.23,"(98.48, 98.98, 98.52)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,128,4.0,ck2,-1,N/A,N/A,-1,0.001,24.28,26.18,"(5.88, 5.66, 61.3)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,128,4.0,ck4,-1,N/A,N/A,-1,0.001,72.57,4.46,"(78.84, 70.02, 68.84)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,128,16.0,ck2,-1,N/A,N/A,-1,0.001,59.06,17.26,"(34.96, 74.46, 67.76)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,128,16.0,ck4,-1,N/A,N/A,-1,0.001,64.48,40.85,"(6.76, 91.3, 95.38)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,128,32.0,ck2,-1,N/A,N/A,-1,0.001,52.74,3.36,"(48.46, 56.66, 53.1)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,128,32.0,ck4,-1,N/A,N/A,-1,0.001,66.66,42.35,"(6.88, 99.7, 93.4)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,256,4.0,ck2,-1,N/A,N/A,-1,0.001,6.23,0.14,"(6.04, 6.38, 6.28)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,256,4.0,ck4,-1,N/A,N/A,-1,0.001,91.25,3.25,"(92.24, 86.86, 94.64)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,256,16.0,ck2,-1,N/A,N/A,-1,0.001,12.36,8.32,"(6.66, 24.12, 6.3)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,256,16.0,ck4,-1,N/A,N/A,-1,0.001,98.04,1.69,"(99.38, 99.08, 95.66)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,2,1,256,32.0,ck2,-1,N/A,N/A,-1,0.001,84.65,6.36,"(89.34, 88.94, 75.66)",3
