task,write,read,mem,ss,lr,kind,seg,src,exact_match,token_acc,run_name,path,variant
qa1,pool,unpool,16,32,1e-04,eval,4,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg4_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,eval,8,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg8_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,eval,16,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg16_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,eval,32,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg32_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,eval,64,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg64_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,eval,128,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg128_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,eval,256,32,0.984984984984985,0.9908869987849331,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/eval_seg256_from32/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,train,1,0,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/seg1_from0/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,train,2,1,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/seg2_from1/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,train,4,2,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/seg4_from2/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,train,6,4,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/seg6_from4/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,train,8,6,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/seg8_from6/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-04,train,32,16,1.0,1.0,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-04_bs64/seg32_from16/run_6,pool/unpool mem16 ss32 lr1e-04
qa1,pool,unpool,16,32,1e-05,eval,1,32,0.5675675675675675,0.7375455650060754,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg1_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,2,32,0.5465465465465466,0.7247873633049817,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg2_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,4,32,0.5285285285285285,0.7138517618469016,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg4_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,8,32,0.5075075075075075,0.701093560145808,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg8_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,16,32,0.5135135135135135,0.7047387606318347,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg16_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,32,32,0.5175175175175175,0.707168894289186,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg32_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,64,32,0.5145145145145145,0.7053462940461726,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg64_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,eval,128,32,0.5195195195195195,0.7083839611178615,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/eval_seg128_from32/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,train,1,0,0.1941941941941942,0.5109356014580801,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/seg1_from0/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,train,2,1,0.5635635635635635,0.7351154313487241,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/seg2_from1/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,train,4,2,0.5575575575575575,0.7314702308626975,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/seg4_from2/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,train,6,4,0.5465465465465466,0.7247873633049817,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/seg6_from4/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,train,8,6,0.5475475475475475,0.7253948967193196,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/seg8_from6/run_6,pool/unpool mem16 ss32 lr1e-05
qa1,pool,unpool,16,32,1e-05,train,16,8,0.5275275275275275,0.7132442284325637,rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64,runs-rmmv5p7/babilong/qa1/rmmv5p7_gpt2pre_ss32_pool_unpool_mem16_lr1e-05_bs64/seg16_from8/run_6,pool/unpool mem16 ss32 lr1e-05
